 time            vgs_fr          time            vds_fr         
 2.03280000e-06  7.09046327e-01  2.03280000e-06  6.70233959e-01 
 2.04280000e-06  7.09656907e-01  2.04280000e-06  6.64713834e-01 
 2.05280000e-06  7.10257002e-01  2.05280000e-06  6.59253231e-01 
 2.06280000e-06  7.10844242e-01  2.06280000e-06  6.53874237e-01 
 2.07280000e-06  7.11416311e-01  2.07280000e-06  6.48598639e-01 
 2.08280000e-06  7.11970951e-01  2.08280000e-06  6.43447821e-01 
 2.09280000e-06  7.12505973e-01  2.09280000e-06  6.38442667e-01 
 2.10280000e-06  7.13019265e-01  2.10280000e-06  6.33603465e-01 
 2.11280000e-06  7.13508802e-01  2.11280000e-06  6.28949816e-01 
 2.12280000e-06  7.13972652e-01  2.12280000e-06  6.24500546e-01 
 2.13280000e-06  7.14408984e-01  2.13280000e-06  6.20273621e-01 
 2.14280000e-06  7.14816076e-01  2.14280000e-06  6.16286073e-01 
 2.15280000e-06  7.15192321e-01  2.15280000e-06  6.12553928e-01 
 2.16280000e-06  7.15536235e-01  2.16280000e-06  6.09092135e-01 
 2.17280000e-06  7.15846461e-01  2.17280000e-06  6.05914515e-01 
 2.18280000e-06  7.16121773e-01  2.18280000e-06  6.03033702e-01 
 2.19280000e-06  7.16361087e-01  2.19280000e-06  6.00461099e-01 
 2.20280000e-06  7.16563456e-01  2.20280000e-06  5.98206842e-01 
 2.21280000e-06  7.16728082e-01  2.21280000e-06  5.96279760e-01 
 2.22280000e-06  7.16854317e-01  2.22280000e-06  5.94687355e-01 
 2.23280000e-06  7.16941660e-01  2.23280000e-06  5.93435777e-01 
 2.24280000e-06  7.16989769e-01  2.24280000e-06  5.92529808e-01 
 2.25280000e-06  7.16998452e-01  2.25280000e-06  5.91972853e-01 
 2.26280000e-06  7.16967677e-01  2.26280000e-06  5.91766933e-01 
 2.27280000e-06  7.16897563e-01  2.27280000e-06  5.91912683e-01 
 2.28280000e-06  7.16788388e-01  2.28280000e-06  5.92409355e-01 
 2.29280000e-06  7.16640583e-01  2.29280000e-06  5.93254822e-01 
 2.30280000e-06  7.16454731e-01  2.30280000e-06  5.94445594e-01 
 2.31280000e-06  7.16231566e-01  2.31280000e-06  5.95976823e-01 
 2.32280000e-06  7.15971967e-01  2.32280000e-06  5.97842330e-01 
 2.33280000e-06  7.15676961e-01  2.33280000e-06  6.00034622e-01 
 2.34280000e-06  7.15347710e-01  2.34280000e-06  6.02544915e-01 
 2.35280000e-06  7.14985515e-01  2.35280000e-06  6.05363173e-01 
 2.36280000e-06  7.14591804e-01  2.36280000e-06  6.08478135e-01 
 2.37280000e-06  7.14168133e-01  2.37280000e-06  6.11877357e-01 
 2.38280000e-06  7.13716171e-01  2.38280000e-06  6.15547260e-01 
 2.39280000e-06  7.13237705e-01  2.39280000e-06  6.19473176e-01 
 2.40280000e-06  7.12734621e-01  2.40280000e-06  6.23639408e-01 
 2.41280000e-06  7.12208904e-01  2.41280000e-06  6.28029284e-01 
 2.42280000e-06  7.11662631e-01  2.42280000e-06  6.32625231e-01 
 2.43280000e-06  7.11097957e-01  2.43280000e-06  6.37408842e-01 
 2.44280000e-06  7.10517109e-01  2.44280000e-06  6.42360950e-01 
 2.45280000e-06  7.09922382e-01  2.45280000e-06  6.47461715e-01 
 2.46280000e-06  7.09316121e-01  2.46280000e-06  6.52690701e-01 
 2.47280000e-06  7.08700719e-01  2.47280000e-06  6.58026969e-01 
 2.48280000e-06  7.08078605e-01  2.48280000e-06  6.63449168e-01 
 2.49280000e-06  7.07452235e-01  2.49280000e-06  6.68935624e-01 
 2.50280000e-06  7.06824080e-01  2.50280000e-06  6.74464439e-01 
 2.51280000e-06  7.06196619e-01  2.51280000e-06  6.80013581e-01 
 2.52280000e-06  7.05572329e-01  2.52280000e-06  6.85560988e-01 
 2.53280000e-06  7.04953673e-01  2.53280000e-06  6.91084652e-01 
 2.54280000e-06  7.04343093e-01  2.54280000e-06  6.96562722e-01 
 2.55280000e-06  7.03742998e-01  2.55280000e-06  7.01973591e-01 
 2.56280000e-06  7.03155758e-01  2.56280000e-06  7.07295984e-01 
 2.57280000e-06  7.02583689e-01  2.57280000e-06  7.12509050e-01 
 2.58280000e-06  7.02029049e-01  2.58280000e-06  7.17592437e-01 
 2.59280000e-06  7.01494027e-01  2.59280000e-06  7.22526377e-01 
 2.60280000e-06  7.00980735e-01  2.60280000e-06  7.27291756e-01 
 2.61280000e-06  7.00491198e-01  2.61280000e-06  7.31870188e-01 
 2.62280000e-06  7.00027348e-01  2.62280000e-06  7.36244077e-01 
 2.63280000e-06  6.99591016e-01  2.63280000e-06  7.40396681e-01 
 2.64280000e-06  6.99183924e-01  2.64280000e-06  7.44312165e-01 
 2.65280000e-06  6.98807679e-01  2.65280000e-06  7.47975655e-01 
