 time            vgs_fr          time            vds_fr         
 1.67280000e-06  6.98153539e-01  1.67280000e-06  8.66380856e-01 
 1.68280000e-06  6.97878227e-01  1.68280000e-06  8.69074097e-01 
 1.69280000e-06  6.97638913e-01  1.69280000e-06  8.71481341e-01 
 1.70280000e-06  6.97436544e-01  1.70280000e-06  8.73593905e-01 
 1.71280000e-06  6.97271918e-01  1.71280000e-06  8.75404190e-01 
 1.72280000e-06  6.97145683e-01  1.72280000e-06  8.76905697e-01 
 1.73280000e-06  6.97058340e-01  1.73280000e-06  8.78093040e-01 
 1.74280000e-06  6.97010231e-01  1.74280000e-06  8.78961955e-01 
 1.75280000e-06  6.97001548e-01  1.75280000e-06  8.79509315e-01 
 1.76280000e-06  6.97032323e-01  1.76280000e-06  8.79733129e-01 
 1.77280000e-06  6.97102437e-01  1.77280000e-06  8.79632554e-01 
 1.78280000e-06  6.97211612e-01  1.78280000e-06  8.79207889e-01 
 1.79280000e-06  6.97359417e-01  1.79280000e-06  8.78460583e-01 
 1.80280000e-06  6.97545269e-01  1.80280000e-06  8.77393226e-01 
 1.81280000e-06  6.97768434e-01  1.81280000e-06  8.76009551e-01 
 1.82280000e-06  6.98028033e-01  1.82280000e-06  8.74314425e-01 
 1.83280000e-06  6.98323039e-01  1.83280000e-06  8.72313839e-01 
 1.84280000e-06  6.98652290e-01  1.84280000e-06  8.70014900e-01 
 1.85280000e-06  6.99014485e-01  1.85280000e-06  8.67425814e-01 
 1.86280000e-06  6.99408196e-01  1.86280000e-06  8.64555873e-01 
 1.87280000e-06  6.99831867e-01  1.87280000e-06  8.61415430e-01 
 1.88280000e-06  7.00283829e-01  1.88280000e-06  8.58015881e-01 
 1.89280000e-06  7.00762295e-01  1.89280000e-06  8.54369632e-01 
 1.90280000e-06  7.01265379e-01  1.90280000e-06  8.50490072e-01 
 1.91280000e-06  7.01791096e-01  1.91280000e-06  8.46391538e-01 
 1.92280000e-06  7.02337369e-01  1.92280000e-06  8.42089274e-01 
 1.93280000e-06  7.02902043e-01  1.93280000e-06  8.37599384e-01 
 1.94280000e-06  7.03482891e-01  1.94280000e-06  8.32938791e-01 
 1.95280000e-06  7.04077618e-01  1.95280000e-06  8.28125177e-01 
 1.96280000e-06  7.04683879e-01  1.96280000e-06  8.23176925e-01 
 1.97280000e-06  7.05299281e-01  1.97280000e-06  8.18113062e-01 
 1.98280000e-06  7.05921395e-01  1.98280000e-06  8.12953184e-01 
 1.99280000e-06  7.06547765e-01  1.99280000e-06  8.07717389e-01 
 2.00280000e-06  7.07175920e-01  2.00280000e-06  8.02426201e-01 
 2.01280000e-06  7.07803381e-01  2.01280000e-06  7.97100485e-01 
 2.02280000e-06  7.08427671e-01  2.02280000e-06  7.91761367e-01 
 2.03280000e-06  7.09046327e-01  2.03280000e-06  7.86430147e-01 
 2.04280000e-06  7.09656907e-01  2.04280000e-06  7.81128207e-01 
 2.05280000e-06  7.10257002e-01  2.05280000e-06  7.75876919e-01 
 2.06280000e-06  7.10844242e-01  2.06280000e-06  7.70697554e-01 
 2.07280000e-06  7.11416311e-01  2.07280000e-06  7.65611182e-01 
 2.08280000e-06  7.11970951e-01  2.08280000e-06  7.60638582e-01 
 2.09280000e-06  7.12505973e-01  2.09280000e-06  7.55800142e-01 
 2.10280000e-06  7.13019265e-01  2.10280000e-06  7.51115770e-01 
 2.11280000e-06  7.13508802e-01  2.11280000e-06  7.46604794e-01 
 2.12280000e-06  7.13972652e-01  2.12280000e-06  7.42285879e-01 
 2.13280000e-06  7.14408984e-01  2.13280000e-06  7.38176934e-01 
 2.14280000e-06  7.14816076e-01  2.14280000e-06  7.34295032e-01 
 2.15280000e-06  7.15192321e-01  2.15280000e-06  7.30656323e-01 
 2.16280000e-06  7.15536235e-01  2.16280000e-06  7.27275968e-01 
 2.17280000e-06  7.15846461e-01  2.17280000e-06  7.24168058e-01 
 2.18280000e-06  7.16121773e-01  2.18280000e-06  7.21345558e-01 
 2.19280000e-06  7.16361087e-01  2.19280000e-06  7.18820239e-01 
 2.20280000e-06  7.16563456e-01  2.20280000e-06  7.16602631e-01 
 2.21280000e-06  7.16728082e-01  2.21280000e-06  7.14701971e-01 
 2.22280000e-06  7.16854317e-01  2.22280000e-06  7.13126166e-01 
 2.23280000e-06  7.16941660e-01  2.23280000e-06  7.11881753e-01 
 2.24280000e-06  7.16989769e-01  2.24280000e-06  7.10973878e-01 
 2.25280000e-06  7.16998452e-01  2.25280000e-06  7.10406269e-01 
 2.26280000e-06  7.16967677e-01  2.26280000e-06  7.10181221e-01 
 2.27280000e-06  7.16897563e-01  2.27280000e-06  7.10299592e-01 
 2.28280000e-06  7.16788388e-01  2.28280000e-06  7.10760798e-01 
 2.29280000e-06  7.16640583e-01  2.29280000e-06  7.11562816e-01 
 2.30280000e-06  7.16454731e-01  2.30280000e-06  7.12702199e-01 
 2.31280000e-06  7.16231566e-01  2.31280000e-06  7.14174090e-01 
 2.32280000e-06  7.15971967e-01  2.32280000e-06  7.15972245e-01 
 2.33280000e-06  7.15676961e-01  2.33280000e-06  7.18089066e-01 
 2.34280000e-06  7.15347710e-01  2.34280000e-06  7.20515632e-01 
 2.35280000e-06  7.14985515e-01  2.35280000e-06  7.23241743e-01 
 2.36280000e-06  7.14591804e-01  2.36280000e-06  7.26255964e-01 
 2.37280000e-06  7.14168133e-01  2.37280000e-06  7.29545684e-01 
 2.38280000e-06  7.13716171e-01  2.38280000e-06  7.33097166e-01 
 2.39280000e-06  7.13237705e-01  2.39280000e-06  7.36895618e-01 
 2.40280000e-06  7.12734621e-01  2.40280000e-06  7.40925254e-01 
 2.41280000e-06  7.12208904e-01  2.41280000e-06  7.45169372e-01 
 2.42280000e-06  7.11662631e-01  2.42280000e-06  7.49610428e-01 
 2.43280000e-06  7.11097957e-01  2.43280000e-06  7.54230118e-01 
 2.44280000e-06  7.10517109e-01  2.44280000e-06  7.59009461e-01 
 2.45280000e-06  7.09922382e-01  2.45280000e-06  7.63928886e-01 
 2.46280000e-06  7.09316121e-01  2.46280000e-06  7.68968323e-01 
 2.47280000e-06  7.08700719e-01  2.47280000e-06  7.74107289e-01 
 2.48280000e-06  7.08078605e-01  2.48280000e-06  7.79324984e-01 
 2.49280000e-06  7.07452235e-01  2.49280000e-06  7.84600380e-01 
 2.50280000e-06  7.06824080e-01  2.50280000e-06  7.89912315e-01 
 2.51280000e-06  7.06196619e-01  2.51280000e-06  7.95239586e-01 
 2.52280000e-06  7.05572329e-01  2.52280000e-06  8.00561032e-01 
 2.53280000e-06  7.04953673e-01  2.53280000e-06  8.05855632e-01 
 2.54280000e-06  7.04343093e-01  2.54280000e-06  8.11102583e-01 
 2.55280000e-06  7.03742998e-01  2.55280000e-06  8.16281384e-01 
 2.56280000e-06  7.03155758e-01  2.56280000e-06  8.21371921e-01 
 2.57280000e-06  7.02583689e-01  2.57280000e-06  8.26354537e-01 
 2.58280000e-06  7.02029049e-01  2.58280000e-06  8.31210107e-01 
 2.59280000e-06  7.01494027e-01  2.59280000e-06  8.35920106e-01 
 2.60280000e-06  7.00980735e-01  2.60280000e-06  8.40466672e-01 
 2.61280000e-06  7.00491198e-01  2.61280000e-06  8.44832668e-01 
 2.62280000e-06  7.00027348e-01  2.62280000e-06  8.49001731e-01 
 2.63280000e-06  6.99591016e-01  2.63280000e-06  8.52958331e-01 
 2.64280000e-06  6.99183924e-01  2.64280000e-06  8.56687806e-01 
 2.65280000e-06  6.98807679e-01  2.65280000e-06  8.60176415e-01 
 2.66280000e-06  6.98463765e-01  2.66280000e-06  8.63411366e-01 
 2.67280000e-06  6.98153539e-01  2.67280000e-06  8.66380856e-01 
 2.68280000e-06  6.97878227e-01  2.68280000e-06  8.69074097e-01 
 2.69280000e-06  6.97638913e-01  2.69280000e-06  8.71481341e-01 
